augmented_constrast_stretching_1,augmented_log_1,augmented_exponencial_1,augmented_laplaciano_1,augmented_media_1,normalized_constrast_stretching_1,normalized_log_1,normalized_exponencial_1,normalized_laplaciano_1,normalized_media_1,originalGray_1,augmented_constrast_stretching_2,augmented_log_2,augmented_exponencial_2,augmented_laplaciano_2,augmented_media_2,normalized_constrast_stretching_2,normalized_log_2,normalized_exponencial_2,normalized_laplaciano_2,normalized_media_2,originalGray_2,augmented_constrast_stretching_3,augmented_log_3,augmented_exponencial_3,augmented_laplaciano_3,augmented_media_3,normalized_constrast_stretching_3,normalized_log_3,normalized_exponencial_3,normalized_laplaciano_3,normalized_media_3,originalGray_3,augmented_constrast_stretching_4,augmented_log_4,augmented_exponencial_4,augmented_laplaciano_4,augmented_media_4,normalized_constrast_stretching_4,normalized_log_4,normalized_exponencial_4,normalized_laplaciano_4,normalized_media_4,originalGray_4
68766,50,182596,22973,169147,59007,52606,62902,39046,66441,139528,77939,4573,8232,375,69371,15384,56113,59522,3412,56172,72845,57158,840,19614,5923,137927,41987,60998,54103,45195,56564,124505,39857,658,0,5042,128450,44509,54651,48198,33018,59980,110308
67489,63,154648,22940,172851,50620,71748,56287,38966,58875,140670,16832,5800,1376,307,76014,16574,61029,83491,3880,61851,72932,37381,816,20235,5760,140774,45874,56213,49928,46039,60301,124108,34600,794,0,4833,128997,38604,69832,60501,32556,60730,109786
68505,57,132228,22324,175775,62173,45650,65951,38371,60613,142385,72931,2755,1171,284,77961,17030,57646,52750,4508,65488,80187,56114,656,29637,5485,140352,42146,69577,51093,46170,68339,124753,38322,644,0,4542,125775,46193,65829,59430,32387,62090,107638
68088,63,129680,22013,178773,55362,45669,76937,38558,61388,143080,17349,6878,1021,316,75526,19624,77602,92874,5132,66575,74634,36118,1057,33726,5358,138823,43202,55944,78341,46270,64822,120769,32894,864,0,4422,122489,43654,59131,70060,32172,62619,105782
68649,70,80641,21630,180154,62807,57416,59192,37921,69371,143651,131824,7197,793,262,82007,21806,74743,75535,5485,72020,83547,73295,1225,30386,5234,134627,44907,59916,65548,46618,67110,117388,41214,1079,0,4330,119239,41545,64735,56338,32139,62509,102445
67235,94,54489,21469,179855,56185,53643,62360,37820,61994,142517,15327,11425,775,282,85654,35346,54504,55753,6130,66468,83031,34523,2406,31718,4951,134060,48924,67183,57970,46250,65212,115742,31250,1545,0,4178,115334,44357,54871,46987,32055,68194,99493
66981,64,42016,20893,179539,71785,75971,70729,38005,73137,143503,19375,91050,775,248,112564,32225,76259,70908,6815,75886,123766,35972,9804,14562,4907,142358,51836,74630,74279,46492,70748,131711,31369,6615,0,3921,114353,53443,91672,55934,32213,68120,100884
66571,82,20980,20513,177189,46429,47070,48609,36851,52243,138688,14010,22750,797,221,47338,11103,35293,27447,7522,42853,33654,31885,2261,13452,4558,116227,33315,48412,54955,47021,52039,93940,29250,1327,0,3846,105697,34477,46690,45360,32315,54694,89847
66542,93,14938,20147,177551,60194,101295,63547,36771,60268,137830,78433,12386,920,243,74297,14506,54493,37072,7993,52174,78188,47228,1583,1372,4394,118938,40941,64936,75935,46319,59589,106442,34678,1084,0,3703,100671,39143,47698,66733,32105,65632,88962
66349,79,12401,19818,178662,59675,54956,51893,36584,59225,138649,14682,9053,1016,235,87044,24188,64499,28581,9166,63249,84944,30923,1497,145,4209,115394,40263,58184,60281,46302,59158,100625,28191,1190,0,3659,96668,43273,54479,68764,32721,57905,86509
65979,83,8236,19643,178310,53681,54125,63545,36365,61724,138841,86791,4244,1076,227,86564,25139,69135,51963,9560,57012,89849,47390,1065,20,4179,112905,40322,68566,61350,46373,66743,102964,35330,1043,0,3379,91886,36821,57764,70977,33205,56617,84658
